colour,success,move
W,F,PE2E4
W,F,PD2D4
W,S,PE2E3
B,S,PC7C5
W,F,BF1B5
W,F,QD1G4
W,S,BF1C4
B,F,QD8C7
B,S,QD8A5
W,S,PA2A4
B,F,QA5B4
B,F,PD7D6
B,S,NB8C6
W,S,RA1A3
B,F,QA5B4
B,S,PE7E5
W,F,QD1F3
W,F,PH2H4
W,F,QD1H5
W,S,PE3E4
B,F,QA5B4
B,S,NC6D4
W,S,PC2C3
B,F,ND4C2
B,F,ND4E6
B,F,ND4C6
B,S,PD7D6
W,F,PC3xD4
W,F,PG2G3
W,S,KE1F1
B,F,ND4C6
B,S,ND4E6
W,S,BC4xE6
B,F,BC8xE6
B,S,PF7xE6
W,S,QD1H5
B,S,PG7G6
W,S,QH5G4
B,S,BC8D7
W,S,RA3B3
B,F,QA5xA4
B,S,PC5C4
W,F,RB3xB7
W,S,RB3A3
B,F,BF8E7
B,F,KE8F7
B,S,BF8G7
W,S,PH2H4
B,S,NG8F6
W,S,QG4F3
B,S,KE8E7
W,S,PD2D3
B,S,NF6E8
W,F,BC1G5
W,S,PD3xC4
B,S,QA5C5
W,F,BC1G5
W,S,KF1E1
B,F,RA8C8
B,S,NE8C7
W,F,BC1G5
W,F,PB2B4
W,S,RA3B3
B,S,QC5xC4
W,S,BC1G5
B,S,BG7F6
W,S,QF3xF6
B,S,KE7E8
W,S,QF6xH8
B,F,KE8F7
B,S,QC4xB3
W,F,QH8xE8
W,F,QH8xE5
W,S,QH8xH7
B,S,RA8B8
W,S,QH7xG6
B,F,KE8F8
B,S,QB3xB2
W,S,QG6xE8
